company_name,status,Industry,use_cases_1,use_cases_2
GENERAL DYNAMICS CORPORATION,FALSE,Logistics&Transportation,,
"COINBASE GLOBAL, INC",TRUE,Finance&Investments,Payments,Finance&Tokens
FREEPORT-MCMORAN,FALSE,Resources&Materials,,
WORKDAY,FALSE,IT&Software,,
NORTHROP GRUMMAN CORPORATION,FALSE,Transport&Aerospace,,
KLA CORPORATION,FALSE,Technology&Electronics,,
PROGRESSIVE CORPORATION,FALSE,Finance&Investments,,
WHATSAPP,FALSE,Communication&Entertainment,,
BLOCK INC,TRUE,IT&Software,Finance&Tokens,
REGENERON PHARMACEUTICALS,FALSE,Healthcare,,
CAPITAL ONE FINANCIAL CORPORATION,FALSE,Finance&Investments,,
ECOLAB,FALSE,Resources&Materials,,
AIR PRODUCTS AND CHEMICALS,FALSE,Resources&Materials,,
SNAP INC,FALSE,Communication&Entertainment,,
WASTE MANAGEMENT,FALSE,Healthcare,,
"LUCID GROUP, INC.",FALSE,Transport&Aerospace,,
MOODY'S CORPORATION,TRUE,Finance&Investments,Research&Consulting,
FEDEX CORPORATION,TRUE,Logistics&Transportation,Smart_contracts,Data_managment&Security
COLGATE-PALMOLIVE COMPANY,FALSE,Retail&ECommerce,,
FIDELITY NATIONAL INFORMATION SERVICES,TRUE,IT&Software,Finance&Tokens,
FISERV,FALSE,IT&Software,,
NORFOLK SOUTHERN CORPORATION,FALSE,Logistics&Transportation,,
THE SOUTHERN COMPANY,FALSE,Resources&Materials,,
INTERCONTINENTAL EXCHANGE,FALSE,Finance&Investments,,
BECTON DICKINSON AND COMPANY,FALSE,Healthcare,,
RIVIAN AUTOMOTIVE INC,FALSE,Transport&Aerospace,,
ILLINOIS TOOL WORKS,FALSE,Machinery&Manufacture,,
CIGNA CORPORATION,FALSE,Healthcare,,
HCA HEALTHCARE,FALSE,Healthcare,,
DUKE ENERGY CORPORATION,FALSE,Resources&Materials,,
UBER TECHNOLOGIES,FALSE,Logistics&Transportation,,
CME GROUP,FALSE,Finance&Investments,,
PUBLIX,FALSE,Food&Restaurants,,
MARSH & MCLENNAN COMPANIES,TRUE,Finance&Investments,Data_managment&Security,
BLACKSTONE GROUP,TRUE,Finance&Investments,Finance&Tokens,
