company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
CHINA MERCHANTS BANK,"China Merchants Bank Co., Ltd.",62,59,68,5,11,11,90867,1987,2006,CNY,267.98,287.601,327.223,342.258,3.62,3.79,4.61,5.26,7417.24,8361.448,9249.021,10138.912,92.867,97.342,119.922,138.012,6799.533,7631.094,8383.34,9184.674,617.707,730.354,865.681,954.238,-70.571,-240.753,-19.697,-513.926,1355.413,1213.408,1476.04,1362.181
AGRICULTURAL BANK OF CHINA,Agricultural Bank of China Limited,81,81,45,8,10,7,459000,1979,2010,CNY,627.223,657.443,719.506,724.868,0.59,0.59,0.65,0.69,24878.288,27205.047,29069.155,33927.533,212.098,215.925,241.183,259.14,22918.526,24994.301,26647.796,31253.082,1959.762,2210.746,2421.359,2674.451,-230.805,-469.26,-331.237,-1051.99,3381.93,3967.294,4213.367,4871.565
CONTEMPORARY AMPEREX TECHNOLOGY,"Contemporary Amperex Technology Co., Limited",64,75,466,6,17,53,33078,2011,2018,CNY,45.788,50.319,130.356,328.594,1.163167,1.385667,3.82,7.176556,101.352,156.618,307.667,600.952,4.56,5.583,15.931,30.729,59.164,87.424,215.045,424.043,42.188,69.195,92.622,176.909,1.856,-15.052,-53.781,-64.14,44.624,84.658,122.487,242.758
CHINA MOBILE,China Mobile Limited,112,117,47,14,18,8,454332,1997,1997,CNY,745.917,768.07,848.258,937.259,5.19,5.27,5.66,5.88,1629.24,1727.882,1841.327,1900.238,106.641,107.843,116.148,125.459,521.951,575.11,631.035,634.115,1107.289,1152.772,1210.292,1266.123,-64.206,-188.106,-238.296,-238.053,1103.773,1148.916,1206.35,1262.048
CHINA CONSTRUCTION BANK CORPORATION,China Construction Bank Corporation,69,67,36,7,8,5,349671,1954,2005,CNY,705.38,754.963,822.643,821.279,01.05,01.06,1.19,,25436.261,28132.254,30253.979,34601.917,266.733,271.05,302.513,323.861,23201.134,25742.901,27639.857,31723.157,2235.127,2389.353,2614.122,2878.76,-292.548,-642.158,-518.548,-651.668,3814.385,3654.643,4210.883,4855.331
MEITUAN DIANPING,Meituan,83,57,148,9,6,17,58390,2010,2018,CNY,97.529,114.795,179.128,219.955,0.39,0.81,-3.9,-1.09,132.013,166.575,240.653,244.481,2.239,4.708,-23.538,-6.686,39.959,68.941,115.097,115.775,92.054,97.634,125.557,128.706,-10.174,-21.232,-58.492,-14.714,92.579,112.617,168.216,163.918
ICBC,Industrial and Commercial Bank of China Limited,36,42,19,4,4,3,434798,1984,2006,CNY,852.644,881.361,939.893,913.562,0.86,0.86,0.95,0.97,30109.436,33345.058,35171.383,39609.657,312.224,315.906,348.338,360.483,27417.433,30435.543,31896.125,36095.831,2692.003,2909.515,3275.258,3513.826,-875.967,-1135.097,-674.556,-910.621,3909.314,4160.245,4538.47,4921.787
WANTAI BIOLOGICAL PHARMACY,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",1085,1089,,152,,,4016,1991,2020,CNY,1.184,2.354,5.75,11.185,0.26601,0.793103,2.3,5.31,2.165,3.504,7.046,16.23,0.209,0.677,2.021,4.736,0.584,0.923,2.483,3.665,1.581,2.58,4.562,12.565,-0.198,-0.295,-1.014,-3.514,1.58,2.554,4.471,12.444
RONGSHENG PETROCHEMICAL,"Rongsheng Petrochemical Co., Ltd.",713,764,1398,88,94,168,13962,1995,2010,CNY,82.5,107.265,177.024,289.095,0.2333,0.75,1.31,0.33,182.587,241.515,337.177,362.587,2.207,7.309,12.824,3.34,141.019,171.655,241.934,265.422,41.568,69.86,95.243,97.166,-35.167,-56.284,-56.841,-28.966,81.958,102.436,160.0,180.258
ALIBABA GROUP HOLDING,Alibaba Group Holding Limited,26,15,7,3,2,1,251462,1999,2014,CNY,,509.711,717.289,853.062,33.4,56.8,55.6,22.96,1300,1312.985,1690.218,1695.553,87.6,149.433,150.578,62.249,527.6,433.334,606.584,613.36,402.87,879.651,1083.634,1082.193,-132.13,-108.072,-244.194,-198.592,,875.677,1073.186,1080.982
BEIJING KINGSOFT OFFICE SOFTWARE,"Beijing Kingsoft Office Software, Inc.",1168,1263,1510,170,90,185,2267,2011,2019,CNY,1.58,2.261,3.28,3.885,01.09,1.9049,2.26,2.42,6.844,8.512,10.426,12.058,0.401,0.878,1.041,1.118,0.775,1.621,2.645,3.259,6.069,6.891,7.78,8.798,-4.474,-1.116,-1.364,4.502,6.069,6.855,7.72,8.724
"XINJIANG DAQO NEW ENERGY CO.,LTD.","Xinjiang Daqo New Energy Co.,Ltd.",1146,926,,165,,,4091,2011,2021,CNY,2.426,4.664,10.832,30.94,0.18,0.69,3.25,9.4,9.108,9.002,22.472,52.265,0.247,1.043,5.724,19.121,5.775,4.334,6.004,6.723,3.333,4.668,16.469,45.542,-0.775,-0.442,-3.586,-6.943,4.384,5.469,16.466,45.542
POWER CONSTRUCTION CORPORATION OF CHINA LTD,"Power Construction Corporation of China, Ltd",999,1450,1618,132,287,200,132583,2009,2011,CNY,348.478,401.955,448.98,572.613,0.4567,0.4632,0.5792,0.68,813.228,886.543,963.977,1040.078,7.239,7.987,8.632,11.435,619.757,662.634,723.845,799.734,193.471,223.909,240.132,240.344,-72.244,-58.129,-46.427,-45.666,353.232,374.731,409.936,451.119
BANK OF JIANGSU,"Bank of Jiangsu Co., Ltd.",1408,1457,1308,214,221,158,15298,2007,2016,CNY,44.872,51.771,63.642,70.501,1.18,1.21,1.21,,2065.058,2337.893,2618.874,2980.295,14.619,15.066,19.694,25.386,1928.622,2155.814,2420.819,2764.863,136.436,182.079,198.056,215.431,48.784,-33.877,-49.492,-48.087,534.03,642.509,696.555,788.998
ZHEJIANG JINGSHENG MECHANICAL & ELECTRICAL,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",1626,1422,4010,245,447,685,,2006,,CNY,3.11,3.811,5.961,10.638,0.5,0.67,1.33,2.26,7.863,10.498,16.884,28.887,0.637,0.858,1.712,2.924,3.146,5.247,9.767,17.674,4.716,5.251,7.116,11.213,-0.536,-0.283,-0.886,-1.958,4.587,5.251,6.837,10.774
SHANDONG GOLD MINING,"Shandong Gold Mining Co., Ltd.",1601,1776,1186,238,189,145,,1975,,CNY,62.631,63.664,33.935,50.306,0.3,0.47,-0.09,,58.156,63.859,78.308,90.722,1.289,2.257,-0.194,1.246,32.338,32.207,46.524,54.025,25.818,31.652,31.783,36.696,-3.831,-8.044,-2.607,-5.251,25.347,30.437,34.559,46.425
JIANGSU EASTERN SHENGHONG,"Jiangsu Eastern Shenghong Co.,Ltd.",1301,979,3986,199,377,683,,1998,,CNY,24.888,22.777,51.722,63.822,0.4,0.14,0.77,0.09,35.042,62.934,132.003,166.512,1.614,0.316,4.544,0.548,19.742,40.386,102.595,130.814,15.3,22.548,29.408,35.698,-4.684,-16.02,-41.008,-32.149,17.296,35.745,83.916,106.079
CHINA SHIPBUILDING INDUSTRY COMPANY,China Shipbuilding Industry Company Limited,1332,1369,937,202,191,119,33009,1999,,CNY,38.057,34.906,39.539,44.155,0.022,-0.021,0.01,-0.099,182.651,172.407,180.139,188.897,0.501,-0.481,0.22,-2.261,96.309,86.256,94.042,104.813,86.343,86.151,86.097,84.085,-8.505,15.832,-5.515,-9.646,98.956,90.857,93.053,100.766
WINGTECH TECHNOLOGY,"Wingtech Technology Co.,Ltd",873,997,1030,110,141,130,22467,1993,,CNY,41.578,51.707,52.729,,1.76,02.06,2.11,,65.132,59.891,72.576,,1.254,2.415,2.612,,43.71,30.816,38.06,,21.422,29.075,34.516,,-12.304,-3.214,-5.945,,32.495,36.864,45.107,
"NINGBO DEYE TECHNOLOGY GROUP CO., LTD.","Ningbo Deye Technology Group Co., Ltd.",,,,,,,,,,CNY,2.57,3.024,4.168,5.956,1.45,2.135714,2.64,6.35,1.213,1.676,3.924,8.507,0.26,0.382,0.579,1.517,0.664,0.808,1.283,4.418,0.549,0.867,2.64,04.09,-0.055,-0.233,-0.923,-3.218,0.549,0.867,2.64,4.593
NINESTAR CORPORATION,Ninestar Corporation,1863,3070,2746,285,596,389,,2000,,CNY,23.296,19.585,22.792,25.855,0.7,0.1272,0.9812,,37.819,38.226,43.585,46.029,0.744,0.088,1.163,1.863,28.229,26.053,25.209,27.282,9.59,12.173,18.376,18.747,-0.755,-0.956,-0.724,-0.633,13.241,15.181,21.78,24.338
"EASTROC BEVERAGE (GROUP) CO.,LTD.","Eastroc Beverage (Group) Co.,Ltd.",,,,,,,,,,CNY,4.209,4.959,6.978,8.505,1.63,2.2557,3.112,3.6012,3.341,4.361,7.79,11.87,0.571,0.812,1.193,1.441,1.706,2.448,3.552,6.805,1.635,1.913,4.238,5.064,-0.532,-0.773,-3.563,-3.336,1.872,2.215,4.264,5.064
GONGNIU GROUP,"Gongniu Group Co., Ltd.",1288,1332,,196,,,,1995,,CNY,10.04,10.051,12.385,,4.27,3.89,4.63,,7.417,12.438,15.474,,2.304,2.313,2.78,,1.865,3.3,4.718,,5.551,9.137,10.756,,-1.792,-4.25,-1.589,,5.551,9.297,10.756,
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,"Shanghai Putailai New Energy Technology Co.,Ltd.",1293,1380,2628,197,306,371,,2012,,CNY,4.799,5.281,8.996,15.464,0.535714,0.545,1.27,,8.131,14.486,21.45,35.697,0.651,0.668,1.749,3.104,4.486,5.571,10.781,21.728,3.645,8.915,10.669,13.969,-1.547,-0.608,-2.852,-3.043,3.624,8.914,11.473,16.387
NEW CHINA LIFE INSURANCE COMPANY,New China Life Insurance Company Ltd.,1274,1279,785,192,116,97,36309,1996,,CNY,174.065,206.275,222.002,214.337,4.67,4.58,4.79,3.15,878.97,1004.376,1127.721,1255.044,14.559,14.294,14.947,9.822,794.509,902.696,1019.207,1152.139,84.461,101.68,108.514,102.905,-85.636,-67.728,-106.531,-90.47,84.451,111.667,118.497,112.884
SDIC POWER HOLDINGS,"SDIC Power Holdings Co., Ltd",1642,2015,1733,249,284,222,9374,1989,,CNY,42.433,39.32,43.682,,0.6705,0.777,0.3202,,224.722,228.909,241.37,,4.755,5.516,2.437,,150.327,146.324,153.309,,74.394,82.585,88.06,,-8.73,-10.242,-9.088,,155.173,155.99,164.463,
HANGZHOU FIRST APPLIED MATERIAL,"Hangzhou First Applied Material Co., Ltd.",1262,1044,3346,188,267,518,2525,2003,,CNY,6.378,8.393,12.858,18.877,0.779762,1.242857,1.68,1.19,8.305,11.545,13.688,20.195,0.957,1.565,2.197,1.579,1.776,2.516,1.498,6.184,6.529,9.029,12.19,14.011,-0.02,-1.832,1.517,-0.307,7.415,10.38,12.176,16.496
IFLYTEK,"iFLYTEK CO.,LTD",1137,1193,1410,162,199,170,10000,1999,,CNY,10.079,13.025,18.314,18.82,0.4,0.64,0.7000000000000001,0.24,20.101,24.836,31.394,32.859,0.819,1.364,1.556,0.561,8.366,11.864,14.057,16.012,11.735,12.972,17.337,16.847,-2.899,-0.735,-2.579,-1.704,11.816,12.75,17.173,18.114
GSX TECHEDU,,1415,1415,2492,216,222,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC AIRCRAFT,,1413,1639,2224,215,178,298,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA RESOURCES MIXC LIFESTYLE SERVICES LIMITED,China Resources Mixc Lifestyle Services Limited,1824,1647,,282,,,,1994,,CNY,5.868,6.779,8.875,,0.165876,0.485,0.756,,7.101,19.076,21.592,,0.365,0.818,1.725,,06.07,6.613,7.703,,1.032,12.463,13.889,,-1.084,-1.933,1.419,,1.032,12.463,13.888,
HUADONG MEDICINE CO. LTD,"Huadong Medicine Co., Ltd",1625,2284,2339,244,370,316,1056,1993,,CNY,35.446,33.683,34.563,37.715,1.6077,1.6115,1.3154,,21.464,24.201,26.996,31.192,2.813,2.82,2.302,2.499,8.597,9.022,10.055,12.016,12.867,15.179,16.941,19.176,-1.583,-1.739,-1.987,-2.436,12.309,14.771,16.719,19.629
YONYOU NETWORK TECHNOLOGY,"Yonyou Network Technology Co.,Ltd.",1126,1286,1436,160,122,174,17271,1988,,CNY,8.51,8.525,8.932,9.262,0.37,0.3,0.22,0.06,17.538,16.95,17.329,23.555,1.183,0.989,0.708,0.219,9.244,8.403,9.403,11.037,8.294,8.547,7.926,12.518,-0.183,-0.894,-1.23,-3.853,7.218,7.543,7.377,12.287
GUOSEN SECURITIES,"Guosen Securities Co., Ltd.",1186,1179,1049,174,132,135,10423,1989,,CNY,13.538,18.267,22.939,,0.56,0.72,0.97,,224.644,302.756,362.301,,4.91,6.616,10.115,,168.389,221.831,265.375,,56.255,80.924,96.927,,-0.181,-0.828,0.407,,117.45,148.963,172.395,
"INNER MONGOLIA BAOTOU STEEL UNION CO., LTD.","Inner Mongolia Baotou Steel Union Co., Ltd.",1040,830,,141,,,28041,1999,,CNY,63.397,59.266,86.183,72.172,0.012,0.0089,0.0631,,147.087,144.222,147.968,146.722,0.668,0.406,2.866,-0.73,86.105,82.605,83.765,85.327,60.981,61.617,64.203,61.395,-1.951,-1.073,-1.075,-1.536,68.004,74.543,69.576,66.493
BEIJING ORIENTAL YUHONG WATERPROOF TECHNOLOGY,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",1015,1115,2507,135,198,352,,1998,,CNY,18.154,21.73,31.934,31.214,0.93,1.51,1.74,0.85,22.416,27.847,49.733,50.556,2.066,3.389,4.205,2.12,12.456,13.016,23.05,23.367,9.96,14.831,26.684,27.188,-1.374,-1.744,-5.651,-4.729,11.733,15.036,27.398,27.351
CHINA SOUTHERN AIRLINES COMPANY,China Southern Airlines Company Limited,1219,1514,1311,180,217,160,100431,1988,1997,CNY,154.322,92.561,101.644,87.059,0.22,-0.77,-0.75,-1.9,306.928,326.383,323.211,312.246,2.64,-10.847,-12.106,-32.699,229.599,241.252,238.703,256.887,77.329,85.131,84.508,55.359,-14.427,-8.049,-15.82,,77.743,107.718,106.205,75.719
CITIC PACIFIC SPECIAL STEEL GROUP,"Citic Pacific Special Steel Group Co., Ltd.",1127,1130,1597,161,166,197,,,,CNY,72.62,74.728,97.332,98.345,01.07,1.2,1.54,1.41,72.585,77.441,84.876,90.775,5.386,6.024,7.953,7.105,47.308,49.056,51.909,54.337,25.277,28.385,32.968,36.437,-2.989,-1.702,-4.071,-1.856,33.63,37.449,43.225,48.693
AVIC JONHON OPTRONIC TECHNOLOGY,"AVIC Jonhon Optronic Technology Co.,Ltd.",1272,1355,2382,191,209,328,,2002,,CNY,9.159,10.305,12.867,15.838,0.744429,0.961071,1.3037,,15.132,19.218,26.987,31.811,1.071,1.439,1.991,2.717,6.398,8.724,11.091,13.309,8.733,10.495,15.897,18.502,-0.281,-0.413,-1.065,-1.466,8.305,9.804,15.582,17.441
SANAN OPTOELECTRONICS,"Sanan Optoelectronics Co.,Ltd",855,961,1406,106,147,169,,1993,,CNY,7.46,8.454,12.572,13.222,0.32,0.24,0.29,0.15,29.681,38.975,47.522,58.389,1.298,1.016,1.313,0.685,7.935,9.303,17.067,20.443,21.745,29.672,30.454,37.947,-1.571,-4.575,-8.607,-4.104,21.865,30.577,33.054,41.296
HENAN SHUANGHUI INVESTMENT & DEVELOPMENT,"Henan Shuanghui Investment & Development Co.,Ltd.",1158,1568,1124,167,102,138,,1998,,CNY,60.348,73.935,66.798,62.731,1.6382,1.8642,1.4044,,28.633,34.704,33.977,36.412,5.438,6.256,4.866,5.621,11.518,10.571,10.828,14.23,17.115,24.133,23.15,22.182,-1.375,-3.652,-0.592,-3.488,16.504,23.778,22.822,21.865
FUYAO GLASS INDUSTRY GROUP,"Fuyao Glass Industry Group Co., Ltd.",1144,1177,1699,164,157,217,27067,1987,,CNY,21.104,19.907,23.603,28.099,1.16,01.04,1.23,1.82,38.826,38.424,44.785,50.767,2.898,2.601,3.146,4.756,17.457,16.833,18.491,21.779,21.369,21.591,26.294,28.988,-3.125,-1.167,-1.863,-7.656,22.563,24.778,28.644,32.01
CHINA GALAXY SECURITIES,"China Galaxy Securities Co., Ltd.",1523,1623,1164,233,190,142,11545,2007,,CNY,17.032,17.18,22.905,18.592,0.52,0.71,0.97,,315.666,445.73,560.135,625.216,5.228,7.244,10.43,7.761,243.744,363.722,461.157,522.603,71.922,82.008,98.978,102.613,-12.812,-42.558,-23.702,-24.811,166.531,218.821,238.392,255.039
CNPC CAPITAL COMPANY,CNPC Capital Company Limited,1803,1923,1021,277,211,128,4361,1996,,CNY,33.126,30.127,30.964,32.431,0.62,0.62,0.44,0.39,933.38,940.043,990.532,1023.774,7.793,7.844,5.55,4.918,779.796,777.875,822.053,848.088,153.584,162.169,168.479,175.686,4.964,18.115,17.407,-35.892,110.319,112.674,107.768,102.15
HANSOH PHARMACEUTICAL GROUP COMPANY,Hansoh Pharmaceutical Group Company Limited,1474,1256,856,228,93,105,9178,1995,,CNY,8.683,8.69,9.935,9.382,0.47,0.44,0.46,0.44,19.575,20.792,27.16,30.002,2.557,2.569,2.713,2.584,6.531,2.916,7.131,7.355,13.044,17.876,20.029,22.647,-7.076,-2.874,-2.259,-5.935,13.044,17.876,23.772,26.93
TBEA,"TBEA Co., Ltd.",1648,1519,3521,252,458,557,,1938,,CNY,37.03,44.166,61.371,96.003,0.4695,0.5803,1.8813,4.1183,102.225,109.494,126.358,170.334,2.018,2.487,7.255,15.883,59.197,62.898,69.394,90.174,43.028,46.597,56.964,80.16,-9.992,-3.585,-11.444,-22.78,57.212,58.856,67.913,82.659
OPPEIN HOME GROUP,Oppein Home Group Inc.,1436,1495,2122,220,224,280,,1994,,CNY,13.533,14.74,20.442,22.48,3.13,3.47,4.4,4.41,14.814,18.844,23.393,28.611,1.839,2.063,2.666,2.688,5.255,6.918,8.984,12.097,9.559,11.925,14.409,16.514,-4.654,-2.337,-2.065,-7.146,11.161,12.421,14.409,18.115
BANK OF HANGZHOU,"Bank of Hangzhou Co., Ltd.",1594,1585,2149,237,207,284,7914,1996,,CNY,21.402,24.638,29.148,32.571,1.19,1.17,1.43,1.83,1024.07,1169.257,1390.565,1616.538,6.602,7.136,9.261,11.679,961.526,1088.395,1300.494,1517.965,62.545,80.863,90.071,98.573,1.807,-59.959,-102.957,-62.165,221.859,244.656,379.952,398.339
XINJIANG TIANSHAN CEMENT,,995,5625,5568,131,1000,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICHUAN ROAD & BRIDGE,"Sichuan Road & Bridge Co.,Ltd",2128,3299,5583,336,790,,,,,CNY,52.725,61.07,85.049,135.151,0.47,0.78,1.15,,97.615,113.224,137.038,208.299,1.702,3.025,5.582,11.213,80.37,88.46,106.506,162.298,17.245,24.764,30.532,46.001,-6.223,-5.27,-3.653,-7.844,48.937,58.093,69.884,92.772
"GUSHEN, INC.",Gushengtang Holdings Limited,,,,,,,,,,CNY,0.896,0.925,1.372,1.625,-0.641863,-1.110039,-4.38,0.8,1.102,1.445,2.392,2.614,-0.148,-0.256,-0.507,0.183,2.072,2.579,0.842,0.891,-0.97,-1.133,1.549,1.722,-0.035,-0.117,-0.049,-0.178,-0.46,-0.874,1.616,1.774
COUNTRY GARDEN HOLDINGS COMPANY,Country Garden Holdings Company Limited,991,858,419,130,84,49,101784,1992,,CNY,485.908,462.856,523.064,430.371,1.85,1.62,1.22,-0.26,1907.152,2015.809,1948.365,1744.467,39.55,35.022,26.797,-6.052,1688.544,1758.806,1647.738,1434.894,218.608,257.003,300.627,309.573,-19.091,-5.917,-18.042,4.406,405.27,405.346,437.64,381.222
ZHUZHOU CRRC TIMES ELECTRIC,"Zhuzhou CRRC Times Electric Co., Ltd.",1615,2621,2899,239,506,416,,2005,,CNY,16.304,16.034,15.121,18.034,2.26,2.11,1.63,,32.986,33.866,44.151,48.51,2.659,2.475,2.018,2.556,10.789,9.606,10.858,13.214,22.196,24.26,33.293,35.296,-1.475,-0.63,-6.014,-2.263,22.141,23.935,32.699,34.603
SUZHOU MAXWELL TECHNOLOGIES,"Suzhou Maxwell Technologies Co., Ltd.",2011,1891,7411,310,484,,,,,CNY,1.438,2.285,3.095,4.148,1.652778,4.7375,3.91,4.99,4.005,4.652,9.776,14.527,0.248,0.394,0.643,0.862,2.65,2.917,3.931,8.098,1.355,1.735,5.845,6.429,-0.159,-0.158,-1.935,-0.225,1.359,1.837,5.872,6.532
SHANDONG HUALU-HENGSHENG CHEMICAL,"Shandong Hualu-Hengsheng Chemical Co., Ltd.",1872,1689,2829,288,282,403,3921,,,CNY,14.19,13.115,26.636,30.245,1.16,0.85,3.439,,18.187,20.549,28.653,35.005,2.453,1.798,7.254,6.289,3.956,4.901,5.948,7.085,14.231,15.649,22.705,27.921,-2.014,-2.266,-3.629,-7.292,15.735,16.643,23.961,30.18
NINGBO ZHOUSHAN PORT COMPANY,Ningbo Zhoushan Port Company Limited,1819,2080,2038,280,280,261,,2008,,CNY,24.322,21.268,23.128,25.855,0.25,0.25,0.27,,71.779,85.419,94.962,108.689,3.422,3.431,4.332,4.265,27.347,30.042,36.088,32.136,44.432,55.377,58.873,76.553,-1.999,-6.557,-5.487,-5.36,47.836,59.075,66.757,83.447
PHARMARON BEIJING,"Pharmaron Beijing Co., Ltd.",1364,953,2512,208,192,353,11012,2004,,CNY,3.757,5.134,7.444,10.266,0.552267,0.988333,1.3988,1.1625,9.935,11.909,18.389,20.493,0.547,1.172,1.661,1.375,2.097,2.975,8.094,9.653,7.838,8.934,10.295,10.84,-1.045,-3.371,-5.258,-2.209,8.309,9.265,14.552,15.003
SHANGHAI BAOSIGHT SOFTWARE,"Shanghai Baosight Software Co.,Ltd.",1584,1567,2901,236,259,418,,1978,,CNY,6.849,9.518,11.759,13.15,0.4603549999999999,0.6984619999999999,0.935,1.12,10.268,14.07,17.86,19.581,0.879,1.301,1.819,2.186,2.999,6.558,8.257,8.921,7.269,7.513,9.604,10.66,-0.97,-0.617,-0.826,-0.291,7.065,7.283,9.017,9.943
HUALI INDUSTRIAL GROUP COMPANY LIMITED,Huali Industrial Group Company Limited,1298,1405,,198,,,,1995,,CNY,15.166,13.931,17.47,20.569,3.42,1.79,2.45,,9.613,9.738,16.179,17.11,1.821,1.879,2.768,3.228,5.445,3.997,5.253,3.915,4.168,5.741,10.927,13.195,-1.368,-0.836,-4.35,-2.025,4.168,5.741,10.927,13.195
CHANGCHUN HIGH & NEW TECHNOLOGY INDUSTRY (GROUP),,1228,1323,1238,181,97,152,6247,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD POWER DEVELOPMENT,"GD Power Development Co.,Ltd",2228,2464,2206,357,396,295,32913,1992,,CNY,116.599,116.421,168.185,192.681,0.081,0.218,-0.103,0.154,364.848,357.337,397.909,412.852,1.869,2.633,-1.845,2.825,248.199,238.8,286.736,302.58,116.649,118.538,111.172,110.271,-11.453,-12.188,-20.528,-39.365,183.114,173.729,186.247,202.329
LENOVO GROUP,Lenovo Group Limited,1450,1558,1760,222,239,226,71500,1984,,USD,,50.716,60.742,71.618,,0.0558,0.0954,0.1745,,32.128,37.991,44.51,,0.719,1.211,02.03,,28.069,34.38,39.116,,4.059,3.611,5.395,,-0.957,-0.976,-1.498,,5.438,6.235,7.624
ORIENT SECURITIES COMPANY,Orient Securities Company Limited,1468,1379,1492,226,238,182,6339,1998,,CNY,18.461,21.922,22.926,18.059,0.3436889999999999,0.373148,0.72,,262.971,291.117,326.6,368.067,2.435,2.723,5.371,3.011,208.96,230.886,262.457,290.669,54.012,60.231,64.143,77.398,-4.725,3.462,18.492,-16.021,144.413,148.974,147.777,151.851
GLODON COMPANY,Glodon Company Limited,1679,1881,2528,260,195,355,,1998,,CNY,3.541,4.005,5.619,6.591,0.2087,0.2867,0.5636,,6.167,9.547,10.068,11.545,0.235,0.33,0.661,0.967,2.818,2.989,3.795,4.744,3.349,6.558,6.273,6.801,-0.227,-0.697,-1.541,-0.964,3.269,6.402,5.788,6.312
YTO EXPRESS GROUP,"YTO Express Group Co.,Ltd.",2024,3598,2666,312,469,376,1070,1992,,CNY,31.151,34.907,45.155,53.539,0.5897,0.5723,0.6656000000000001,1.1402,22.161,26.429,34.222,39.257,1.668,1.767,2.103,3.92,8.94,8.913,11.164,12.064,13.221,17.516,23.058,27.194,-3.763,-3.331,-7.127,-5.747,15.911,17.129,23.102,26.948
SMOORE INTERNATIONAL HOLDINGS,Smoore International Holdings Limited,807,697,,102,,,,2009,,CNY,7.611,10.01,13.755,12.145,0.378477,0.4449,0.8854000000000001,0.4166,3.302,14.774,22.871,24.359,2.174,2.4,5.287,2.51,2.567,2.374,3.625,3.982,0.735,12.4,19.246,20.377,-0.489,-1.261,-5.226,-2.424,0.735,12.4,19.246,20.377
ALUMINUM CORPORATION OF CHINA,Aluminum Corporation of China Limited,1355,1147,1811,207,303,238,63007,2001,,CNY,190.074,185.994,269.748,290.988,0.55,0.85,8.15,5.975,203.071,194.902,192.377,212.348,0.851,0.741,05.08,4.192,132.346,123.73,119.593,124.592,70.725,71.172,72.783,87.756,-13.392,1.933,-0.744,-3.418,106.893,105.592,109.754,113.0
MONTAGE TECHNOLOGY GROUP,,1488,1867,1310,230,193,159,255,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHEJIANG SANHUA INTELLIGENT CONTROLS,"Zhejiang Sanhua Intelligent Controls Co.,Ltd",1434,1538,2117,219,206,279,14478,,,CNY,11.287,12.11,16.021,,0.4,0.41,0.47,,14.79,17.033,23.62,,1.421,1.462,1.684,,5.425,6.88,12.367,,9.365,10.153,11.253,,0.223,-0.795,-5.05,,9.685,11.773,14.604,
JIANGSU HENGLI HYDRAULIC,"Jiangsu Hengli Hydraulic Co.,Ltd",1148,1120,2307,166,114,312,,1990,,CNY,5.414,7.855,9.309,8.197,0.99,1.73,02.06,1.79,8.427,10.62,12.332,16.201,1.296,2.254,2.694,2.343,2.813,3.269,3.093,3.523,5.614,7.352,9.239,12.678,-0.452,-0.663,-0.932,-0.08,5.783,7.684,9.24,12.63
CHINA ENERGY ENGINEERING CORPORATION LIMITED,China Energy Engineering Corporation Limited,2549,3696,,419,,,117830,2011,,CNY,247.291,270.328,322.319,366.393,0.1699,0.15,0.19,,421.67,476.052,528.863,664.351,5.079,4.68,6.504,7.809,308.38,338.123,379.129,496.865,113.29,137.929,149.734,167.486,-14.513,-20.192,-18.653,-49.026,153.014,172.372,190.109,243.817
HUA XIA BANK,"Hua Xia Bank Co., Limited",1463,1569,955,224,187,121,39748,1992,,CNY,84.719,95.306,95.878,93.811,1.37,1.2,1.35,1.43,3020.789,3399.816,3676.287,3900.167,21.905,21.275,23.535,25.035,2751.452,3117.161,3375.585,3576.845,269.337,282.655,300.702,323.322,-61.644,-61.704,-103.721,-86.33,775.236,901.444,959.456,1017.696
HANGZHOU TIGERMED CONSULTING,"Hangzhou Tigermed Consulting Co., Ltd",1403,1223,2188,213,125,292,,2004,,CNY,2.803,3.192,5.214,7.085,1.13,2.2,3.31,2.32,7.533,19.506,23.741,27.447,0.842,1.75,2.874,2.007,2.011,1.648,3.136,4.765,5.522,17.858,20.605,22.681,-0.638,-2.367,-2.783,-2.789,4.262,16.119,18.124,19.828
