company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
OMEGA HEALTHCARE INVESTORS,"Omega Healthcare Investors, Inc.",2384,2320,1630,851,693,584,52,1992,1992,USD,0.929,0.892,1.063,0.878,1.6,0.7000000000000001,1.76,,9.796,9.497,9.638,9.405,0.341,0.159,0.417,0.427,5.46,5.461,5.53,5.602,4.337,4.037,4.108,3.803,-0.379,-0.089,-0.524,0.443,9.147,8.91,9.16,8.877
MASTEC,"MasTec, Inc.",2518,2667,2729,884,965,895,30000,1994,,USD,7.183,6.321,7.952,9.778,5.22,4.43,4.54,0.45,4.997,5.228,7.121,9.296,0.392,0.323,0.329,0.033,3.205,3.222,4.578,6.554,1.792,2.006,2.544,2.741,-0.262,-0.217,-1.357,-0.821,3.106,3.163,4.42,5.793
MEDICAL PROPERTIES TRUST,"Medical Properties Trust, Inc.",1451,1630,1412,564,560,522,112,2003,2005,USD,0.854,1.249,1.545,1.543,0.87,0.81,1.11,,14.467,16.829,20.52,19.658,0.375,0.431,0.656,0.903,7.439,9.485,12.074,11.064,7.028,7.344,8.446,8.594,-4.884,-2.947,-3.858,0.396,14.052,16.204,19.723,18.861
AVIS BUDGET GROUP,"Avis Budget Group, Inc.",1726,2986,4519,660,1474,1395,24500,1946,,USD,9.172,5.402,9.313,11.994,04.01,-9.71,19.79,58.41,23.126,17.538,22.6,25.927,0.302,-0.684,1.285,2.764,22.47,17.693,22.809,26.627,0.656,-0.155,-0.209,-0.703,-2.752,3.177,-6.306,-4.299,0.656,-0.155,-0.22,-0.703
SOUTHWESTERN ENERGY COMPANY,Southwestern Energy Company,3306,4961,6349,1107,1643,1828,1118,1929,,USD,3.038,2.308,6.667,15.002,1.65,-5.42,-0.03,,6.717,5.16,11.848,12.926,0.891,-3.112,-0.025,1.849,3.471,4.663,9.301,8.602,3.246,0.497,2.547,4.324,-1.045,-0.881,-2.604,-2.043,5.488,3.647,7.748,8.716
"SIGNIFY HEALTH, INC.",,5882,3821,,1785,,,2300,2017,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGILON HEALTH, INC.","agilon health, inc.",2017,1518,,742,,,747,2016,2021,USD,0.794,1.218,1.834,,-0.735865,-0.156046,-1.09,-0.26,0.403,0.446,1.586,,-0.283,-0.06,-0.406,,0.635,0.731,0.495,,-0.232,-0.285,1.092,,-0.005,0.022,-0.091,,-0.165,-0.22,1.135,
PERSHING SQUARE HOLDINGS,"Pershing Square Holdings, Ltd.",2367,2367,2882,,789,940,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIXMOR PROPERTY GROUP,Brixmor Property Group Inc.,2337,2610,1776,836,981,626,502,2003,2013,USD,1.168,1.053,1.152,1.218,0.92,0.41,0.91,,8.142,8.342,8.377,8.436,0.275,0.121,0.27,0.354,5.399,5.661,5.659,5.571,2.744,2.681,2.718,2.865,-0.172,-0.167,-0.331,-0.462,7.605,7.848,7.883,7.901
MATADOR RESOURCES COMPANY,Matador Resources Company,3371,4654,4981,1130,1899,1510,360,2003,2012,USD,0.984,0.862,1.663,3.058,0.75,-5.11,5.0,10.28,04.07,3.687,4.262,5.555,0.088,-0.593,0.585,1.214,2.1,2.174,2.135,2.237,1.969,1.513,2.127,3.317,-0.904,-0.776,-0.729,-1.037,3.416,3.102,3.435,4.271
KARUNA THERAPEUTICS,"Karuna Therapeutics, Inc.",4142,4508,5270,1342,1440,1580,210,2009,,USD,0.0,0.0,0.037,0.011,-3.68,-2.59,-4.94,-8.74,0.393,0.348,0.528,1.163,-0.044,-0.069,-0.144,-0.276,0.003,0.009,0.026,0.037,0.39,0.339,0.502,1.126,-0.174,-0.09,-0.023,-0.586,0.39,0.339,0.502,1.126
MURPHY OIL CORPORATION,Murphy Oil Corporation,3419,4741,3119,1145,1706,995,691,1944,,USD,2.817,1.752,2.801,4.22,07.01,-7.48,-0.48,6.22,11.718,10.621,10.305,10.309,1.15,-1.149,-0.074,0.965,5.914,6.227,5.984,5.16,5.805,4.394,4.321,5.149,-0.514,-0.859,-0.418,-1.109,8.24,7.382,6.786,6.817
AUTOMATION ANYWHERE,,2069,2069,2069,759,721,705,6574,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENTSPLY SIRONA,DENTSPLY SIRONA Inc.,1590,1539,1235,614,571,472,1500,1899,1987,USD,4.029,3.342,4.251,3.922,1.15,-0.33,1.88,,8.603,9.342,9.22,7.643,0.263,-0.083,0.421,-0.95,3.508,4.372,4.177,3.831,5.095,4.97,5.043,3.812,-0.068,-1.106,-0.358,-0.138,6.528,6.948,6.956,5.638
